,article,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
4.78885E+18,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,Aurelia 1.0 is Here!!!,"Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft","Building Chatbots with Node.js - Online Training - July 13 & 14, 2016",7 Tips to Create a Company Learning Culture like Google - Without Resources
4.80772E+18,Apple Acquires Machine Learning Company Turi For $200 Million,10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",Algorithms and architecture for job recommendations,To Be Continued: Helping you find shows you want to continue watching,Worldwide Ops in Minutes with DataStax & Cloud
4.81442E+18,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,Machine learning at the museum: this week on Google Cloud Platform,My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch,Omnitone: Spatial audio on the web
4.81563E+18,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",What DeepMind brings to Alphabet,Swift Top 10 Articles For The Past Year (v.2017),I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Deck describing how MSFT plans to use Linkedin,Microsoft's new online certification program kicks off with data science specialization | ZDNet
4.8319E+18,The Hardest Part About Microservices: Your Data,Test Driven Development by Example: Validation in Java,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",UE não dá sossego ao Google. Novo alvo? O AdSense,Spring Boot 1.4 released
4.84378E+18,The 200 billion dollar chatbot disruption,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Why image recognition is about to transform business,Nespresso,Apple Has Created 'Detailed Mockups' of iMessage for Android,To bot or not to bot
4.86169E+18,Diversidade no Brasil: um longo caminho a percorrer,The Language of Beauty Ads,#iLookLikeAnEngineer: One Year Later,Savage Love Letter of the Day: Get Out There and Fight,"contentId
6690761795935927461    Webinars | MATERA Systems
6690761795935927461    Webinars | MATERA Systems
Name: title, dtype: object",Criadas para casar
4.8659E+18,Coca-Cola Brasil entra no mercado de café,Configuring OSGi,Workspace Filter,Adobe CQ/Adobe AEM,How to Install and Use the Linux Bash Shell on Windows 10,AEM 6.1 Package Manager Metadata Files
4.87677E+18,Shopping em BH terá fazenda urbana de 2.700 m²,Home-Made Twitter and Gmail Notifications with PHP and Arduino,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Testing a new Drupal 8 installation with 2 Docker commands
4.87783E+18,Google Cloud Platform: The smart person's guide - TechRepublic,Humanos seriam desse jeito se evoluíssem para sobreviver a acidentes de carro,15 Interesting JavaScript and CSS Libraries for October 2016,"How to build a robot that ""sees"" with $100 and TensorFlow","Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",The Java 8 API Design Principles
4.89101E+18,Introducing Kotlin support in Spring Framework 5.0,Spring Boot 1.4 released,How Kotlin became our primary language for Android - UPTech Team,Introduction to Spring REST Docs | Baeldung,"Kotlin in Production - What works, Whats broken","A Geospatial Messenger with Kotlin, Spring Boot and PostgreSQL"
4.89116E+18,Motion with Meaning: Semantic Animation in Interface Design,LOGOBR School | Behance Reviews Campinas 2016,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business,TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,Uso de API's no mercado de serviços financeiros
4.8939E+18,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,[Framework] Lean IT Governance,[Tools] XMind Plus - Last Chance for students' 1$ gift,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais."
4.89483E+18,Um misterioso vórtice escuro surgiu sobre Netuno,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones,UE não dá sossego ao Google. Novo alvo? O AdSense,Google makes building apps easier with Android Studio 2.0,What's the Version of my Deployed Application? - DZone DevOps,Stetho for Android debug builds only
4.89955E+18,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,From Insight-as-a-Service to insightful applications,Jeff Seguros: SEGUROS E GAMES,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,"Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera"
4.90478E+18,My Approach to Mobile Accessibility Testing - Ministry of Testing,5 Asian Trends for 2017,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR","Google tests a more personalized version of its virtual assistant, Google Now",O seu conteúdo está preparado para as duas internets?,A tougher Turing Test shows that computers still have virtually no common sense
4.9117E+18,Why image recognition is about to transform business,The future of agriculture - Jim Womack visits a lean farm,This startup uses machine learning and satellite imagery to predict crop yields,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Google Cloud Goes to the Farm,The 200 billion dollar chatbot disruption
4.91514E+18,Portugal runs for four days straight on renewable energy alone,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,O uso da vírgula e seus pré-requisitos - Português,Lista tem 15 dicas para Google Docs; teste,"Ultrapar, por meio da Ipiranga, assina compra da Ale por R$ 2,17 bilhões",Como são escrita as risadas em japonês? - Suki Desu
4.91642E+18,[GTD] Forget About Setting Goals. Focus on This Instead.,[Event] Palestra Competitive Strategy and Competition,Replace Lego's $190 Intelligent Brick with MIT's Scratch and a $40 Raspberry Pi,"[Hangout] StartSe promove hangout gratuito com Caio Poli, do Nubank; inscreva-se",Atlassian launches Bitbucket Pipelines,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog
4.91836E+18,Saúde de homens gays e bi é foco de nova campanha do governo,Cartórios Não Podem Recusar Registro De Filhos De Casais Homoafetivos,Amor sem fronteiras: série de fotos retrata casais gays pelo mundo,Campanha do Dicionário Houaiss pretende mudar a definição de família,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Nova campanha da Avon tem drag queen como estrela
4.9207E+18,Login sem senha no Android deve chegar até o final de 2016 | Google Discovery,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Dial in with ease using the latest Google Calendar app for Android,Google moves to replace Flash with HTML5,Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more"
4.95004E+18,Curso Gratuito Como tornar seu negócio escalável e inovador,Better together: New Microsoft integrations for easier collaboration,Why The New Chatbot Invasion Is So Different From Its Predecessors,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,"Desenvolvendo Android, por onde começar? - Android Dev BR",10 Simple Habits of Insanely Productive People
4.99944E+18,1000 nodes and beyond: updates to Kubernetes performance and scalability in 1.2,Addressing Accessibility for the Web,Características de Arquiteturas Evolutivas,Google Is Finally Redesigning Its Biggest Cash Cow: AdWords,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",Google: Here's how a software update knocked out our App Engine cloud | ZDNet
5.00891E+18,Post: Just Say mNo to Hungarian Notation,So long MVP. Hello Minimum Loveable Product.,Sam Newman - Backends For Frontends,Readable Content Guides,The Importance of Code Reviews,Optimizing the Performance of Vector Drawables - upday devs
5.01847E+18,The Internet of Things is looking for its VisiCalc,"Need Some AI? Yeah, There's a Marketplace for That",How to choose algorithms for Microsoft Azure Machine Learning,Automation and anxiety,Client-side ranking to more efficiently show people stories in feed,"How to build a robot that ""sees"" with $100 and TensorFlow"
5.03263E+18,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java,Documentando uma API JAX-RS com Swagger,Spring Boot 1.5.1 released,What to Inspect When You are Inspecting!,Serverless Architectures,Say Hello to React CDK - KADIRA VOICE
5.0362E+18,30 Learning Resources For Mastering Angular 2,15 Interesting JavaScript and CSS Libraries for September 2016,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Create a Slack Bot to Interact with Your Wiki,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Introducing Mini Courses with MS Chatbots
5.03722E+18,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Google employees are adding 'Lady' to their job titles to fight sexism,O dia em que tive mais medo de estar errada.,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?
5.0374E+18,Cognizant Named a Digital Transformation Leader in the Life Science Industry,Five things to include in your digital transformation playbook,America's allies are preparing for a bumpy ride,Who sponsors Drupal development? | Dries Buytaert,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Blaise Agüera y Arcas: How computers are learning to be creative
5.04593E+18,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Comprar roupas está ficando fora de moda no Reino Unido,[Retro] Celebration Grids - Management 3.0,"National Coming Out Day - Wikipedia, the free encyclopedia",Serious Business: Should Renewable Energy Continue Receiving Government Subsidies?,What Apple's differential privacy means for your data and the future of machine learning
5.05117E+18,Google Cloud and Autodesk enable 10x improvement in media rendering efficiency,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption","Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Tech in Brazil is booming despite the country's political troubles,Nashorn: JavaScript made great in Java 8,What Color is Your Function?
5.05337E+18,Democratizing AI,O Empreendedorismo no Mercado de Seguros,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,Hero unveils a new home gadget to help you track and dispense pills,Adobe and Microsoft Partner in the Azure Cloud to Help Businesses Transform Customer Engagement,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel
5.06267E+18,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Practical VPC Design - AWS Startup Collection,AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%)
5.08205E+18,How We Lost 47% of Our Users After a Redesign | Icons8,How Green Was My Valley (1941),"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,What Pinterest learned in two years working on its search engine,Apple Releases First Preview of Swift 3.0 for Developers
5.08708E+18,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Dries Buytaert,Announcing pricing for Google Stackdriver,"Thunder, a Drupal distribution for publishers",Google: Here's how a software update knocked out our App Engine cloud | ZDNet,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic
5.08801E+18,JavaScript Conquered the Web. Now It's Taking Over the Desktop,How I sped up the initial render of my Polymer app by 86%,Infrequently Noted,Spotify UI built with HTML / CSS - Freebiesbug,"Chrome 52 Beta: CSS containment, simpler performance measurement, streamable responses from service workers, and more options for web push",Chrome extension brings Medium's best feature to the whole Web
5.09264E+18,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"Need Some AI? Yeah, There's a Marketplace for That",Making Sense of Unstructured Data with Google Cloud NL API,Learning to learn by gradient descent by gradient descent,How to choose algorithms for Microsoft Azure Machine Learning,Machine Learning Is Redefining The Enterprise In 2016
5.10922E+18,Robôs (bots) serão tão populares quanto apps; entenda a nova tendência,Liberty vai adotar telemetria e baratear seguro para bons motoristas,Digital Leadership Is Not an Optional Part of Being a CEO,Accenture and Adboe team on customer enegagement,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,IBM makes a big shift into cognitive computing
5.14592E+18,Open Source Giant Red Hat Launches First Blockchain Initiative - CoinDesk,Quando o Scrum irá falhar - Tableless,Extreme Style Machines:Using Random Neural Networks to Generate Textures,Finding The Meaning Of Artificial Intelligence At Google I/O,Chrome OS now has Material Design for the desktop,"Hello, a nova rede social do Orkut, está liberada no Brasil"
5.15207E+18,IBM makes a big shift into cognitive computing,Digital Leadership Is Not an Optional Part of Being a CEO,The new tech talent you need to succeed in digital,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Liberty vai adotar telemetria e baratear seguro para bons motoristas,Visa lança desafio para startups de tecnologia - Startupi
5.16251E+18,Japanese for dummies,40 Basic Japanese conversations,"The Algorithm March, Japan's Strangely Entertaining Exercise",Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Request lesson : How and when to use はず(=hazu) | Maggie Sensei
5.16377E+18,How IoT security can benefit from machine learning,Artificial Intelligence's White Guy Problem,Blaise Agüera y Arcas: How computers are learning to be creative,The Difference Between Sympathy And Empathy - Expanded Consciousness,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,America's allies are preparing for a bumpy ride
5.18388E+18,Google is secretly creating a new OS that's not based on Linux,"Need Some AI? Yeah, There's a Marketplace for That",How to choose algorithms for Microsoft Azure Machine Learning,A New Number Format for Computers Could Nuke Approximation Errors for Good,Automation and anxiety,Machine Learning Is Redefining The Enterprise In 2016
5.18911E+18,Better together: New Microsoft integrations for easier collaboration,Curso Gratuito Como tornar seu negócio escalável e inovador,Dicionário de Segurês,"Fresco, sim! - Android Dev BR",Listas com RecyclerView - Android Dev BR,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016
5.18943E+18,Introducing Goals in Google Calendar on Android and iPhone,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Dries Buytaert,The Skills You'll Need and the Salary You Can Expect as a Data Scientist,Million Song Dataset | scaling MIR research,Announcing pricing for Google Stackdriver
5.19967E+18,Introducing the new Google Cloud Load Balancing UI,Docker Engine 1.11 with runC: Announcing the general availability of the industry's first OCI-compliant runtime,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",A New Number Format for Computers Could Nuke Approximation Errors for Good,2.3.0 Release Notes,Serverless Data Sync in Web Apps with Bit Torrent
5.20631E+18,The rise of APIs,Machine Learning as a Service: How Data Science Is Hitting the Masses,The next stop on the road to revolution is ambient intelligence,How AWS came to be,Two Different Sales Motions . . . .,How bot-to-bot could soon replace APIs
5.21167E+18,Google Cloud Platform sets a course for new horizons,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Google: Here's how a software update knocked out our App Engine cloud | ZDNet,Automation and anxiety,All Together Now. Introducing G Suite.,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion"
5.21772E+18,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Scott Penrose: Arduino Static Strings,Android - The dark side of Jack and Jill,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Advanced Android Espresso
5.22782E+18,The Difference Between Sympathy And Empathy - Expanded Consciousness,America's allies are preparing for a bumpy ride,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Five things to include in your digital transformation playbook,Walmart compra startup para brigar com Amazon | EXAME.com,Blaise Agüera y Arcas: How computers are learning to be creative
5.23757E+18,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Building a high-throughput data science machine,"Apple acquires Turi, a machine learning company",The AI business landscape,Deep learning software knows that a rose is a rose is a rosa rubiginosa,New Sessions Added To Google I/O 2016 Schedule
5.23812E+18,Embracing Agile,An operating model for company-wide agile development,You won't recognize the new world of digital payments without this report,An operating model for company-wide agile development,NOW NEW NEXT: How growth champions create new value,Rewiring Citi for the digital age
5.23946E+18,The Biggest list of 35 FREE UX Books,1% das empresas dominam 94% das receitas na App Store,55 fornecedores de TI que apresentarão novidades no Ciab 2016,"Facebook says 10K+ developers are building chatbots, analytics coming",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Global Data Bank é lançado internacionalmente com operação no Brasil
5.25036E+18,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Using TensorFlow and JupyterHub in Classrooms,Ray Kurzweil Predicts Three Technologies Will Define Our Future,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
5.2586E+18,Machine Learning Is No Longer Just for Experts,Services | RaRe Technologies,Google's Cloud Machine Learning service is now in public beta,Graph-powered Machine Learning at Google,Algorithms and architecture for job recommendations,The emerging Darwinian approach to analytics and augmented intelligence
5.26361E+18,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Taking Microservices Home - NGINX,On DRY and the cost of wrongful abstractions,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Aurelia 1.0 is Here!!!,"Olhar Digital: Notícia: Testamos o HoloLens, os óculos do futuro da Microsoft"
5.26616E+18,Intel's internal IoT platform for real-time enterprise analytics,How To Benefit From Getting Paid in Bitcoin,This is the scientific reason we're addicted to our phones,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Setting and Calculating a Web Performance Budget,Adobe CQ/Adobe AEM
5.26958E+18,Sabia que você pode transformar o seu celular em uma impressora 3D?,LukeW | Obvious Always Wins,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Adulterated Objective-C,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Sons de animais na busca do Google | Google Discovery
5.2707E+18,8 Insanely Simple Productivity Hacks,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,"Estonia wants to become a 'country as a service' and already has 10,000 virtual residents",A digital crack in banking's business model,JavaScript Conquered the Web. Now It's Taking Over the Desktop
5.2719E+18,This Tiny Robot Lets You Play God With Huge AI,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",Aussie Uses Arduino Chips To Roboticize a Ford Focus,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets
5.28157E+18,Cognitive Services-Intelligence Applications | Microsoft Azure,What DeepMind brings to Alphabet,Deck describing how MSFT plans to use Linkedin,Microsoft's Open Source Love Affair Reaches New Heights,Microsoft's new online certification program kicks off with data science specialization | ZDNet,AI Revolution 101 - AI Revolution
5.2937E+18,Can Accenture Take Over Advertising?,How to get the most from your agency relationships in 2017,The need to lead in data and analytics,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,"Zendesk's ""Automatic Answers"" taps machine learning, AI to generate bot-style email responses",How AWS came to be
5.30209E+18,Google employees are adding 'Lady' to their job titles to fight sexism,Write Like You Talk,Savage Love Letter of the Day: Get Out There and Fight,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,The Language of Beauty Ads,Workplace diversity in Brazil: there's still a long way to go
5.30434E+18,The future is the trust economy,Why the customer experience matters,The omnichannel customer experience is poised to take off in regulated industries,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Framework] Lean IT Governance,[Tools] XMind Plus - Last Chance for students' 1$ gift
5.31198E+18,Startup aims to use machine learning to make mobile notifications good,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,How to approach machine learning as a non-technical person,The Real Product Market Fit,The gig economy as a driver of innovation,No-Cost RHEL Developer Subscription now available
5.31334E+18,Salesforce Architect Journey,Apple e Google querem que você pague por assinatura em apps,Client-side ranking to more efficiently show people stories in feed,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Here are the SDKs Top Mobile Apps Use,The Internet of Things is looking for its VisiCalc
5.31411E+18,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company",New Sessions Added To Google I/O 2016 Schedule,Event Map For Google I/O 2016 Released,The AI business landscape,Imagine Discovering That Your Teaching Assistant Really Is a Robot
5.31798E+18,Running Kubernetes Locally via Docker,Performance Testing in a Nutshell,Docker Engine 1.11 with runC: Announcing the general availability of the industry's first OCI-compliant runtime,The future of SaaS hosted git repository pricing,Introducing the new Google Cloud Load Balancing UI,"Webinário gratuito ""Como analisar um AWR Report"""
5.32856E+18,Acquia Engage Awards Finalists Announced,NOW NEW NEXT: How growth champions create new value,PCI Compliance & Drupal Commerce: Which Payment Gateway Should I Choose?,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,State of Drupal 2016 survey | Dries Buytaert,"There will be a Drupal 9, and here is why"
5.33314E+18,"Microsoft HoloLens and Lowe's, working to redefine your next home renovation",11 Internet of Things (IoT) Protocols You Need to Know About,Android Quickstart - Firebase,"Android N Developer Preview 2, out today! | Android Developers Blog","Fresco, sim! - Android Dev BR",Our password hashing has no clothes
5.33656E+18,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Taking Microservices Home - NGINX,Migrating to the New Java 8 Date Time API | Baeldung,Building Spring Cloud Microservices That Strangle Legacy Systems,Reactive log stream processing with RxJava - Part I,Combining Spring Boot and JDBI
5.33868E+18,How to Get a Job at Google,Everything you need to know about the big changes coming to Newark airport,Manhattan CRE prices spark a mass exodus of startups to Brooklyn,"A sneak peek at Google's upcoming travel app, Trips","Google's head of advertising talks ad blocking, mobile and micropayments","Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com"
5.35083E+18,2016 will be the year of conversational commerce - Chris Messina,Understanding the Twitter topic Tracker,Why Steve Jobs Was Proud to Steal Ideas,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,Gmail API: New endpoints for settings,Uma recepção eficiente
5.38428E+18,Three Lessons for Design-Driven Success,What do Design Thinking and Marketing have in common?,SpotHero is ready for the future of autonomous parking,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",TI Bimodal? Receita para o desastre...,Gartner Hype Cycle for Digital Marketing and Advertising
5.39578E+18,Workspace Filter,Configuring OSGi,AEM 6.1 Package Manager Metadata Files,How to Install and Use the Linux Bash Shell on Windows 10,Adobe CQ/Adobe AEM,Live Event: Unveiling the GitLab Master Plan
5.39587E+18,Large CPGs are under attack by startups... and consumers are winning,Google lança novos recursos para o Analytics,Unilever: The biggest digital start-up in the world?,Tendências do Marketing de Conteúdo 2016,Que novas oportunidades poderemos criar com Blockchain? - CIO,"Razorfish, US digital revenues, drag down Publicis"
5.39896E+18,Hangouts para Android ganha opção de mensagens em vídeo | Google Discovery,"contentId
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
8962537427807366481    Why It's Time to Take Google's PC Operating Sy...
Name: title, dtype: object",From fine wine to lotteries: Blockchain tech takes off - BBC News,Google now uses machine learning to make reading comics on phones easier,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,"Hello, a nova rede social do Orkut, está liberada no Brasil"
5.40138E+18,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Nubank começa a testar seu programa de fidelidade - Empresas Tech,Mobile banking conquista o coração dos brasileiros,Blockchain Will Be Used By 15% of Big Banks By 2017,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão
5.41029E+18,"Use Docker to build, test and push your Artifacts","Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Ultimate AI battle - Apple vs. Google,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Adopting Open Source Development Processes in Corporate IT
5.4106E+18,Banks find blockchain hard to put into practice - FT.com,MOBILE TIME - Santander lança app dedicado aos clientes do ensino superior,"Sompo Seguros aproveita ""onda"" do Pokémon Go para alertar sobre segurança no trânsito | Sonho Seguro",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,The new tech talent you need to succeed in digital,"""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living"
5.4245E+18,Sam Newman - Backends For Frontends,Post: Just Say mNo to Hungarian Notation,So long MVP. Hello Minimum Loveable Product.,Readable Content Guides,ConstraintLayout - Part 1,Dark Scrum
5.42905E+18,Spring Boot 1.5.1 released,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java,Documentando uma API JAX-RS com Swagger,What Happens When No One and Everyone Owns a Product? - Built to Adapt,What to Inspect When You are Inspecting!,Introducing Kotlin support in Spring Framework 5.0
5.42992E+18,Pebble Core guide: All you need to know about the wearable for runners,This Tiny Robot Lets You Play God With Huge AI,New free Trend Briefing from TrendWatching | INNOVATION CELEBRATION 2016,Google Fiber agrees to acquire Webpass,"IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",U.S. Track Cycling Team Training for Rio Olympics with Smart Sunglasses
5.4314E+18,Intel buys computer vision startup Itseez to improve navigation in self-driving cars,The AI business landscape,Behold.ai launches artificially intelligent medical software to find abnormalities faster,Guest post: building IoT applications with MQTT and Google Cloud Pub/Sub,8 things to expect from Google's biggest event of the year,How to finish 3D printed PLA objects
5.43955E+18,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre",Buscas on-line por carros têm expansão de 43% no 1º trimestre,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,Creating value in auto finance with vLendRight | Kevin Moseri,Empresas intensificam operações de barter diante da dificuldade de crédito
5.44108E+18,[FILME] - The Hammer,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Create a Slack Bot to Interact with Your Wiki,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Introducing Mini Courses with MS Chatbots,Portugal runs for four days straight on renewable energy alone
5.446E+18,Bradesco lança serviço inédito para estimular o hábito de poupar,The Future of Digital Banking is Now,Olhando para o futuro: 5 pontos de atenção,Nubank e Goldman fecham parceria de R$ 200 milhões,Uso de API's no mercado de serviços financeiros,E os vencedores do Latam Founders Awards 2016 são... - Startupi
5.4686E+18,35 Innovative and Inspirational Website Designs in Banking,Digital Leadership Is Not an Optional Part of Being a CEO,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,Accenture and Adboe team on customer enegagement,Liberty vai adotar telemetria e baratear seguro para bons motoristas,IBM makes a big shift into cognitive computing
5.48406E+18,The Ultimate Solution to Versioning REST APIs: Content Negotiation,bliki: StranglerApplication,Dr. consulta: uma revolução no setor da saúde,Creating Your Code Review Checklist - DaedTech,The hardest thing in computer science,WORKPEDIA 2016
5.51421E+18,johnpapa/angular-styleguide,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,"Inatel lança seu Smart Campus, um laboratório vivo para demonstração de projetos na área de IoT - Startupi",The Business Case for Progressive Web Apps,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,Chip Pro sequel to crowdsourced $9 computer sets its sights on gadget makers
